Id,Text,Layanan,Program,Sarana dan Prasarana,Teknis,sentimen,preprocessed,tweet_tokens,stemmed_only,stopword_only,stemmed_stopword,stemmed_only_string,stopword_only_string,stemmed_stopword_string
549, Kethoprak RRI pancen bisa menghibur hati semoga tetap langgeng,0,1,0,0,positif,kethoprak rri pancen bisa menghibur hati semoga tetap langgeng,"['kethoprak', 'rri', 'pancen', 'bisa', 'menghibur', 'hati', 'semoga', 'tetap', 'langgeng']","['kethoprak', 'rri', 'pancen', 'bisa', 'hibur', 'hati', 'moga', 'tetap', 'langgeng']","['kethoprak', 'rri', 'pancen', 'menghibur', 'hati', 'semoga', 'langgeng']","['kethoprak', 'rri', 'pancen', 'hibur', 'hati', 'moga', 'langgeng']",kethoprak rri pancen bisa hibur hati moga tetap langgeng,kethoprak rri pancen menghibur hati semoga langgeng,kethoprak rri pancen hibur hati moga langgeng
218, area tempat siaran beberapa radio. PRO  RRI & PRO  RRI. Tempat adem nyaman dan minimalis. Penyiar ramah,1,0,1,0,positif, area tempat siaran beberapa radio pro rri pro rri tempat adem nyaman dan minimalis penyiar ramah,"['area', 'tempat', 'siaran', 'beberapa', 'radio', 'pro', 'rri', 'pro', 'rri', 'tempat', 'adem', 'nyaman', 'dan', 'minimalis', 'penyiar', 'ramah']","['area', 'tempat', 'siar', 'beberapa', 'radio', 'pro', 'rri', 'pro', 'rri', 'tempat', 'adem', 'nyaman', 'dan', 'minimal', 'siar', 'ramah']","['area', 'siaran', 'radio', 'pro', 'rri', 'pro', 'rri', 'adem', 'nyaman', 'minimalis', 'penyiar', 'ramah']","['area', 'siar', 'radio', 'pro', 'rri', 'pro', 'rri', 'adem', 'nyaman', 'minimal', 'siar', 'ramah']",area tempat siar beberapa radio pro rri pro rri tempat adem nyaman dan minimal siar ramah,area siaran radio pro rri pro rri adem nyaman minimalis penyiar ramah,area siar radio pro rri pro rri adem nyaman minimal siar ramah
510, hahaha begitulah Bang Taufik tetapi sekarang hampir semua radio merambah ke dunia siaran streaming.,0,0,0,0,positif,hahaha begitulah bang taufik tetapi sekarang hampir semua radio merambah ke dunia siaran streaming,"['hahaha', 'begitulah', 'bang', 'taufik', 'tetapi', 'sekarang', 'hampir', 'semua', 'radio', 'merambah', 'ke', 'dunia', 'siaran', 'streaming']","['hahaha', 'begitu', 'bang', 'taufik', 'tetapi', 'sekarang', 'hampir', 'semua', 'radio', 'rambah', 'ke', 'dunia', 'siar', 'streaming']","['hahaha', 'bang', 'taufik', 'radio', 'merambah', 'dunia', 'siaran', 'streaming']","['hahaha', 'bang', 'taufik', 'radio', 'rambah', 'dunia', 'siar', 'streaming']",hahaha begitu bang taufik tetapi sekarang hampir semua radio rambah ke dunia siar streaming,hahaha bang taufik radio merambah dunia siaran streaming,hahaha bang taufik radio rambah dunia siar streaming
472, sinyalnya tai...,0,0,0,1,negatif,sinyalnya tai,"['sinyalnya', 'tai']","['sinyal', 'tai']","['sinyalnya', 'tai']","['sinyal', 'tai']",sinyal tai,sinyalnya tai,sinyal tai
531,@@muhamadchairudin radio itu ada di internet. .cuma kalah saing sama medsos...,0,1,0,0,negatif,muhamadchairudin radio itu ada di internet cuma kalah saing sama medsos,"['muhamadchairudin', 'radio', 'itu', 'ada', 'di', 'internet', 'cuma', 'kalah', 'saing', 'sama', 'medsos']","['muhamadchairudin', 'radio', 'itu', 'ada', 'di', 'internet', 'cuma', 'kalah', 'saing', 'sama', 'medsos']","['muhamadchairudin', 'radio', 'internet', 'kalah', 'saing', 'medsos']","['muhamadchairudin', 'radio', 'internet', 'kalah', 'saing', 'medsos']",muhamadchairudin radio itu ada di internet cuma kalah saing sama medsos,muhamadchairudin radio internet kalah saing medsos,muhamadchairudin radio internet kalah saing medsos
542,@@ybuuuchannel yaa menurut saya banyak pak. Dan pernah sy dengar sekilas info gitu kayak iklan Tau Kah Kamu yg disampaikan oleh RRI PRO  Biak yg bilang &quot,1,1,0,0,positif,ybuuuchannel yaa menurut saya banyak pak dan pernah sy dengar sekilas info gitu kayak iklan tau kah kamu yg disampaikan oleh rri pro biak yg bilang quot,"['ybuuuchannel', 'yaa', 'menurut', 'saya', 'banyak', 'pak', 'dan', 'pernah', 'sy', 'dengar', 'sekilas', 'info', 'gitu', 'kayak', 'iklan', 'tau', 'kah', 'kamu', 'yg', 'disampaikan', 'oleh', 'rri', 'pro', 'biak', 'yg', 'bilang', 'quot']","['ybuuuchannel', 'yaa', 'turut', 'saya', 'banyak', 'pak', 'dan', 'pernah', 'sy', 'dengar', 'kilas', 'info', 'gitu', 'kayak', 'iklan', 'tau', 'kah', 'kamu', 'yg', 'sampai', 'oleh', 'rri', 'pro', 'biak', 'yg', 'bilang', 'quot']","['ybuuuchannel', 'yaa', 'sy', 'dengar', 'sekilas', 'info', 'gitu', 'kayak', 'iklan', 'kah', 'rri', 'pro', 'biak', 'quot']","['ybuuuchannel', 'yaa', 'sy', 'dengar', 'kilas', 'info', 'gitu', 'kayak', 'iklan', 'kah', 'rri', 'pro', 'biak', 'quot']",ybuuuchannel yaa turut saya banyak pak dan pernah sy dengar kilas info gitu kayak iklan tau kah kamu yg sampai oleh rri pro biak yg bilang quot,ybuuuchannel yaa sy dengar sekilas info gitu kayak iklan kah rri pro biak quot,ybuuuchannel yaa sy dengar kilas info gitu kayak iklan kah rri pro biak quot
17,"ABSURD CONFUSED RANCU...!
Indonesia menyapa pagi"" ""siang"" ""sore"" ""malam""...!
Yang menyapa adalah ""Indonesia""!
Yang disapa adalah si ""pagi"" si ""siang"" si ""sore"" si ""malam""...!
Yang merespon sapaan bukan si ""pagi"" si ""siang"" si ""sore"" si ""malam""...!
Yang merespon sapaan justru si ""manusia"" pendengar!
SALAHNYA DI MANA...?!
SALAH GURU MENGAJAR BAHASA INDONESIA ?!
--------------
Ini contoh yang cantiq :
?Indonesia pagi menyapa anda...!
?RRI pagi menyapa Indonesia...!
DO YOU SMART ENOUGH TO UNDERSTAND WHAT I MEAN...?!
",0,1,0,0,negatif,absurd confused rancu indonesia menyapa pagi siang sore malam yang menyapa adalah indonesia yang disapa adalah si pagi si siang si sore si malam yang merespon sapaan bukan si pagi si siang si sore si malam yang merespon sapaan justru si manusia pendengar salahnya di mana salah guru mengajar bahasa indonesia ini contoh yang cantiq indonesia pagi menyapa anda rri pagi menyapa indonesia do you smart enough to understand what  mean,"['absurd', 'confused', 'rancu', 'indonesia', 'menyapa', 'pagi', 'siang', 'sore', 'malam', 'yang', 'menyapa', 'adalah', 'indonesia', 'yang', 'disapa', 'adalah', 'si', 'pagi', 'si', 'siang', 'si', 'sore', 'si', 'malam', 'yang', 'merespon', 'sapaan', 'bukan', 'si', 'pagi', 'si', 'siang', 'si', 'sore', 'si', 'malam', 'yang', 'merespon', 'sapaan', 'justru', 'si', 'manusia', 'pendengar', 'salahnya', 'di', 'mana', 'salah', 'guru', 'mengajar', 'bahasa', 'indonesia', 'ini', 'contoh', 'yang', 'cantiq', 'indonesia', 'pagi', 'menyapa', 'anda', 'rri', 'pagi', 'menyapa', 'indonesia', 'do', 'you', 'smart', 'enough', 'to', 'understand', 'what', 'mean']","['absurd', 'confused', 'rancu', 'indonesia', 'sapa', 'pagi', 'siang', 'sore', 'malam', 'yang', 'sapa', 'adalah', 'indonesia', 'yang', 'sapa', 'adalah', 'si', 'pagi', 'si', 'siang', 'si', 'sore', 'si', 'malam', 'yang', 'merespon', 'sapa', 'bukan', 'si', 'pagi', 'si', 'siang', 'si', 'sore', 'si', 'malam', 'yang', 'merespon', 'sapa', 'justru', 'si', 'manusia', 'dengar', 'salah', 'di', 'mana', 'salah', 'guru', 'ajar', 'bahasa', 'indonesia', 'ini', 'contoh', 'yang', 'cantiq', 'indonesia', 'pagi', 'sapa', 'anda', 'rri', 'pagi', 'sapa', 'indonesia', 'do', 'you', 'smart', 'enough', 'to', 'understand', 'what', 'mean']","['absurd', 'confused', 'rancu', 'indonesia', 'menyapa', 'pagi', 'siang', 'sore', 'malam', 'menyapa', 'indonesia', 'disapa', 'pagi', 'siang', 'sore', 'malam', 'merespon', 'sapaan', 'pagi', 'siang', 'sore', 'malam', 'merespon', 'sapaan', 'manusia', 'pendengar', 'salahnya', 'salah', 'guru', 'mengajar', 'bahasa', 'indonesia', 'contoh', 'cantiq', 'indonesia', 'pagi', 'menyapa', 'rri', 'pagi', 'menyapa', 'indonesia', 'do', 'you', 'smart', 'enough', 'to', 'understand', 'what', 'mean']","['absurd', 'confused', 'rancu', 'indonesia', 'sapa', 'pagi', 'siang', 'sore', 'malam', 'sapa', 'indonesia', 'sapa', 'pagi', 'siang', 'sore', 'malam', 'merespon', 'sapa', 'pagi', 'siang', 'sore', 'malam', 'merespon', 'sapa', 'manusia', 'dengar', 'salah', 'salah', 'guru', 'ajar', 'bahasa', 'indonesia', 'contoh', 'cantiq', 'indonesia', 'pagi', 'sapa', 'rri', 'pagi', 'sapa', 'indonesia', 'do', 'you', 'smart', 'enough', 'to', 'understand', 'what', 'mean']",absurd confused rancu indonesia sapa pagi siang sore malam yang sapa adalah indonesia yang sapa adalah si pagi si siang si sore si malam yang merespon sapa bukan si pagi si siang si sore si malam yang merespon sapa justru si manusia dengar salah di mana salah guru ajar bahasa indonesia ini contoh yang cantiq indonesia pagi sapa anda rri pagi sapa indonesia do you smart enough to understand what mean,absurd confused rancu indonesia menyapa pagi siang sore malam menyapa indonesia disapa pagi siang sore malam merespon sapaan pagi siang sore malam merespon sapaan manusia pendengar salahnya salah guru mengajar bahasa indonesia contoh cantiq indonesia pagi menyapa rri pagi menyapa indonesia do you smart enough to understand what mean,absurd confused rancu indonesia sapa pagi siang sore malam sapa indonesia sapa pagi siang sore malam merespon sapa pagi siang sore malam merespon sapa manusia dengar salah salah guru ajar bahasa indonesia contoh cantiq indonesia pagi sapa rri pagi sapa indonesia do you smart enough to understand what mean
78,Abadi dihati jaya di udara bravo RRI dan selamat untuk siaran perdana RRI IKN,0,1,0,1,positif,abadi dihati jaya di udara bravo rri dan selamat untuk siaran perdana rri ikn,"['abadi', 'dihati', 'jaya', 'di', 'udara', 'bravo', 'rri', 'dan', 'selamat', 'untuk', 'siaran', 'perdana', 'rri', 'ikn']","['abadi', 'hati', 'jaya', 'di', 'udara', 'bravo', 'rri', 'dan', 'selamat', 'untuk', 'siar', 'perdana', 'rri', 'ikn']","['abadi', 'dihati', 'jaya', 'udara', 'bravo', 'rri', 'selamat', 'siaran', 'perdana', 'rri', 'ikn']","['abadi', 'hati', 'jaya', 'udara', 'bravo', 'rri', 'selamat', 'siar', 'perdana', 'rri', 'ikn']",abadi hati jaya di udara bravo rri dan selamat untuk siar perdana rri ikn,abadi dihati jaya udara bravo rri selamat siaran perdana rri ikn,abadi hati jaya udara bravo rri selamat siar perdana rri ikn
418,Acara Jendela Hati Top Luar Biasa,0,1,0,0,positif,acara jendela hati top luar biasa,"['acara', 'jendela', 'hati', 'top', 'luar', 'biasa']","['acara', 'jendela', 'hati', 'top', 'luar', 'biasa']","['acara', 'jendela', 'hati', 'top']","['acara', 'jendela', 'hati', 'top']",acara jendela hati top luar biasa,acara jendela hati top,acara jendela hati top
94,"Acara Nasional BRTVN .
Sepertinya agak lebih di perhatiakan dari perfomers peserta dengan penampilan yg tidak jadul / . No  ya adalah voc. yg di tampilkan untuk pendengar radio & telivisi  tapi penampilan juga bisa sedikit di perhatikan. Selayaknya seperti tampilan dangdut loh . Bagi saran saja  gemmeeees sama wadroube dari masing peserta .",0,1,0,0,negatif,acara nasional brtvn sepertinya agak lebih di perhatiakan dari perfomers peserta dengan penampilan yg tidak jadul no ya adalah voc yg di tampilkan untuk pendengar radio telivisi tapi penampilan juga bisa sedikit di perhatikan selayaknya seperti tampilan dangdut loh bagi saran saja gemmeeees sama wadroube dari masing peserta,"['acara', 'nasional', 'brtvn', 'sepertinya', 'agak', 'lebih', 'di', 'perhatiakan', 'dari', 'perfomers', 'peserta', 'dengan', 'penampilan', 'yg', 'tidak', 'jadul', 'no', 'ya', 'adalah', 'voc', 'yg', 'di', 'tampilkan', 'untuk', 'pendengar', 'radio', 'telivisi', 'tapi', 'penampilan', 'juga', 'bisa', 'sedikit', 'di', 'perhatikan', 'selayaknya', 'seperti', 'tampilan', 'dangdut', 'loh', 'bagi', 'saran', 'saja', 'gemmeeees', 'sama', 'wadroube', 'dari', 'masing', 'peserta']","['acara', 'nasional', 'brtvn', 'seperti', 'agak', 'lebih', 'di', 'perhatiakan', 'dari', 'perfomers', 'serta', 'dengan', 'tampil', 'yg', 'tidak', 'jadul', 'no', 'ya', 'adalah', 'voc', 'yg', 'di', 'tampil', 'untuk', 'dengar', 'radio', 'telivisi', 'tapi', 'tampil', 'juga', 'bisa', 'sedikit', 'di', 'perhati', 'layak', 'seperti', 'tampil', 'dangdut', 'loh', 'bagi', 'saran', 'saja', 'gemmeeees', 'sama', 'wadroube', 'dari', 'masing', 'serta']","['acara', 'nasional', 'brtvn', 'perhatiakan', 'perfomers', 'peserta', 'penampilan', 'jadul', 'no', 'voc', 'tampilkan', 'pendengar', 'radio', 'telivisi', 'penampilan', 'perhatikan', 'selayaknya', 'tampilan', 'dangdut', 'saran', 'gemmeeees', 'wadroube', 'peserta']","['acara', 'nasional', 'brtvn', 'perhatiakan', 'perfomers', 'serta', 'tampil', 'jadul', 'no', 'voc', 'tampil', 'dengar', 'radio', 'telivisi', 'tampil', 'perhati', 'layak', 'tampil', 'dangdut', 'saran', 'gemmeeees', 'wadroube', 'serta']",acara nasional brtvn seperti agak lebih di perhatiakan dari perfomers serta dengan tampil yg tidak jadul no ya adalah voc yg di tampil untuk dengar radio telivisi tapi tampil juga bisa sedikit di perhati layak seperti tampil dangdut loh bagi saran saja gemmeeees sama wadroube dari masing serta,acara nasional brtvn perhatiakan perfomers peserta penampilan jadul no voc tampilkan pendengar radio telivisi penampilan perhatikan selayaknya tampilan dangdut saran gemmeeees wadroube peserta,acara nasional brtvn perhatiakan perfomers serta tampil jadul no voc tampil dengar radio telivisi tampil perhati layak tampil dangdut saran gemmeeees wadroube serta
